,familia,articulo,fecha_venta,festivo,precio,cantidad,importe,orden_articulo_familia
0,BOLLERIA,3960,2021-05-18,,2.318000078201294,216.0,500.6880078315735,1
1,BOLLERIA,6286,2021-08-29,,3.135999917984009,99.0,310.4640054702759,4
2,BOLLERIA,3880,2021-09-21,,3.0,102.0,306.0,3
3,BOLLERIA,5803,2021-10-21,,3.0,42.0,126.0,5
4,BOLLERIA,3880,2021-12-07,,3.0,141.0,423.0,3
5,BOLLERIA,5803,2022-02-12,,3.0,114.0,342.0,5
6,BOLLERIA,5803,2022-03-06,,3.0,192.0,576.0,5
7,BOLLERIA,5803,2022-05-16,,3.5450000762939453,42.0,148.8900032043457,5
8,BOLLERIA,3960,2022-05-18,,2.5910000801086426,150.0,388.65000343322754,1
9,BOLLERIA,6286,2022-05-30,,3.818000078201294,81.0,309.2580089569092,4
10,BOLLERIA,6425,2022-05-31,,34.090999603271484,16.922999918460846,576.9215087890625,2
11,BOLLERIA,3880,2022-07-01,,3.2730000019073486,126.0,412.39801025390625,3
12,BOLLERIA,6286,2022-07-08,,3.818000078201294,93.0,355.0740051269531,4
13,BOLLERIA,5803,2022-07-14,,3.5450000762939453,39.0,138.25500106811523,5
14,BOLLERIA,5803,2022-08-08,,3.5450000762939453,60.0,212.70000076293945,5
15,BOLLERIA,6425,2022-08-16,Feria de Málaga,34.090999603271484,32.016000390052795,1091.4574127197266,2
16,BOLLERIA,6425,2022-08-28,,34.090999603271484,26.610000371932983,907.1614055633545,2
17,BOLLERIA,3880,2022-09-02,,3.2730000019073486,102.0,333.84600830078125,3
18,BOLLERIA,3960,2022-09-13,,2.5910000801086426,192.0,497.4720106124878,1
19,BOLLERIA,6425,2022-11-07,,34.090999603271484,17.033999979496002,580.705904006958,2
20,BOLLERIA,3880,2022-11-17,,3.2730000019073486,177.0,579.3210144042969,3
21,BOLLERIA,3960,2022-12-12,,2.7269999980926514,129.0,351.7829895019531,1
22,BOLLERIA,3880,2022-12-22,,3.5450000762939453,156.0,553.0200023651123,3
23,BOLLERIA,6425,2023-02-15,,34.090999603271484,8.184000134468079,279.00050163269043,2
24,BOLLERIA,5803,2023-03-21,,3.5450000762939453,45.0,159.52500343322754,5
25,BOLLERIA,5803,2023-03-25,,3.5450000762939453,81.0,287.14500617980957,5
26,PANADERIA,417,2021-05-14,,4.038000106811523,69.0,278.6219959259033,5
27,PANADERIA,968,2021-05-24,,2.1630001068115234,285.0,616.4549946784973,1
28,PANADERIA,417,2021-05-31,,4.038000106811523,81.0,327.0780029296875,5
